,empty_slots,extra,free_bikes,id,latitude,longitude,name,timestamp
0,6,"{'installDate': '1278947280000', 'installed': True, 'locked': False, 'name': 'River Street , Clerkenwell', 'removalDate': '', 'temporary': False, 'terminalName': '001023', 'uid': 1}",13,7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,"001023 - River Street , Clerkenwell",2023-07-05T16:59:04.086000Z
1,34,"{'installDate': '1278585780000', 'installed': True, 'locked': False, 'name': 'Phillimore Gardens, Kensington', 'removalDate': '', 'temporary': False, 'terminalName': '001018', 'uid': 2}",3,67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,"001018 - Phillimore Gardens, Kensington",2023-07-05T16:59:04.118000Z
2,4,"{'installDate': '1278242460000', 'installed': True, 'locked': False, 'name': 'Park Street, Bankside', 'removalDate': '', 'temporary': False, 'terminalName': '001024', 'uid': 10}",14,26184215d38089fcad213ef222e69780,51.50597426,-0.092754157,"001024 - Park Street, Bankside",2023-07-05T16:59:04.144000Z
3,16,"{'installDate': '1278340440000', 'installed': True, 'locked': False, 'name': 'Brunswick Square, Bloomsbury', 'removalDate': '', 'temporary': False, 'terminalName': '001022', 'uid': 11}",8,1eabd7ac8e781befd03f52ef56a18aa7,51.52395143,-0.122502346,"001022 - Brunswick Square, Bloomsbury",2023-07-05T16:59:04.149000Z
4,48,"{'installDate': '1278340620000', 'installed': True, 'locked': False, 'name': 'Malet Street, Bloomsbury', 'removalDate': '', 'temporary': False, 'terminalName': '000980', 'uid': 12}",1,23efb32f80a9dcd0e4f61fb44b353ce1,51.52168078,-0.130431727,"000980 - Malet Street, Bloomsbury",2023-07-05T16:59:04.150000Z
5,32,"{'installDate': '1278341040000', 'installed': True, 'locked': False, 'name': ""Belgrove Street , King's Cross"", 'removalDate': '', 'temporary': False, 'terminalName': '001011', 'uid': 14}",16,025ecd9d4f9708f515a36660227c8f3f,51.52994371,-0.123616824,"001011 - Belgrove Street , King's Cross",2023-07-05T16:59:04.152000Z
6,11,"{'installDate': '1278341400000', 'installed': True, 'locked': False, 'name': 'Cartwright Gardens , Bloomsbury', 'removalDate': '', 'temporary': False, 'terminalName': '001010', 'uid': 16}",10,4c4028fef9930764b34cc63c411cd29f,51.52635795,-0.125979294,"001010 - Cartwright Gardens , Bloomsbury",2023-07-05T16:59:04.153000Z
7,5,"{'installDate': '1278426300000', 'installed': True, 'locked': False, 'name': 'Drury Lane, Covent Garden', 'removalDate': '', 'temporary': False, 'terminalName': '001007', 'uid': 18}",22,55f4dfcaf7fe3970b8722067a12b2f7f,51.51477076,-0.12221963,"001007 - Drury Lane, Covent Garden",2023-07-05T16:59:04.162000Z
8,11,"{'installDate': '1278426720000', 'installed': True, 'locked': False, 'name': 'Taviton Street, Bloomsbury', 'removalDate': '', 'temporary': False, 'terminalName': '001009', 'uid': 19}",19,ebe16a8a0722ff26b583e2bda9cd1af4,51.52505093,-0.131161087,"001009 - Taviton Street, Bloomsbury",2023-07-05T16:59:04.165000Z
9,0,"{'installDate': '1544659200000', 'installed': True, 'locked': False, 'name': 'Drummond Street , Euston', 'removalDate': '', 'temporary': False, 'terminalName': '000993', 'uid': 20}",28,d68d55f9fc5a6ecc846d4e51d9bab5bd,51.527326,-0.13605286,"000993 - Drummond Street , Euston",2023-07-05T16:59:04.166000Z
