,name,empty_slots,free_bikes,slots,latitude,longitude
0,"001023 - River Street , Clerkenwell",11,8,,51.52916347,-0.109970527
1,"001018 - Phillimore Gardens, Kensington",26,11,,51.49960695,-0.197574246
2,"001024 - Park Street, Bankside",6,12,,51.50597426,-0.092754157
3,"001022 - Brunswick Square, Bloomsbury",16,8,,51.52395143,-0.122502346
4,"000980 - Malet Street, Bloomsbury",28,21,,51.52168078,-0.130431727
5,"001011 - Belgrove Street , King's Cross",29,19,,51.52994371,-0.123616824
6,"001010 - Cartwright Gardens , Bloomsbury",4,17,,51.52635795,-0.125979294
7,"001007 - Drury Lane, Covent Garden",3,24,,51.51477076,-0.12221963
8,"001009 - Taviton Street, Bloomsbury",19,11,,51.52505093,-0.131161087
9,"000993 - Drummond Street , Euston",2,26,,51.527326,-0.13605286
10,"001019 - Ampton Street , Clerkenwell",17,4,,51.52728093,-0.11829517
11,"001025 - Bolsover Street, Fitzrovia",16,3,,51.52351808,-0.143613641
12,"001029 - Windsor Terrace, Hoxton",13,11,,51.52915444,-0.093421615
13,"003446 - De Vere Gardens, Kensington",19,9,,51.50173726,-0.184980612
14,"003445 - Shoreditch High Street, Shoreditch",40,1,,51.5263778,-0.078130921
15,"001084 - Pindar Street, Liverpool Street",0,24,,51.520955,-0.083493552
16,"001036 - Crawford Street, Marylebone",17,1,,51.52026,-0.157183945
17,"000971 - Godliman Street, St. Paul's",6,19,,51.51248445,-0.099141408
18,"001054 - East Road, Hoxton",19,8,,51.52867339,-0.087459376
19,"001026 - Roscoe Street, St. Luke's",18,0,,51.52295439,-0.094934859
20,"003431 - Grafton Street, Mayfair",10,8,,51.5099923,-0.143495266
21,"001033 - Paddington Street, Marylebone",15,1,,51.52058381,-0.154701411
22,"001030 - Lisson Grove, St. John's Wood",15,3,,51.52644828,-0.172190727
23,"000982 - Holborn Circus, Holborn",14,26,,51.51795029,-0.108657431
24,"000975 - Theobald's Road , Holborn",12,14,,51.52059681,-0.116688468
25,"001064 - Old Street Station, St. Luke's",17,12,,51.52548,-0.089659871
26,"000978 - Russell Square Station, Bloomsbury",14,12,,51.52341837,-0.124121774
27,"001038 - Harrington Square 1, Camden Town",16,11,,51.53301907,-0.139174593
28,"002586 - Cloudesley Road, Angel",35,2,,51.53440868,-0.109025404
29,"001065 - Aldersgate Street, Barbican",8,7,,51.5208417,-0.097340162
30,"001047 - Falkirk Street, Hoxton",6,20,,51.53095071,-0.078505384
31,"001045 - Jewry Street, Aldgate",7,10,,51.51340693,-0.076793375
32,"000991 - Crosswall, Tower",17,17,,51.51159481,-0.077121322
33,"001042 - Woodstock Street, Mayfair",13,8,,51.51410514,-0.147301667
34,"001049 - Finsbury Leisure Centre, St. Luke's",18,2,,51.52600832,-0.096317627
35,"001055 - Wellington Road, St. John's Wood",6,11,,51.53304322,-0.172528678
36,"001050 - Park Road (Baker Street), The Regent's Park",11,11,,51.52451738,-0.158963647
37,"000995 - Little Argyll Street, West End",14,7,,51.51449962,-0.141423695
38,"001043 - Museum of London, Barbican",9,43,,51.51782144,-0.096496865
39,"001116 - Emperor's Gate, South Kensington",12,10,,51.49536226,-0.185296516
40,"001039 - Wapping High Street, Wapping",10,10,,51.504904,-0.06797
41,"001053 - Clerkenwell Green, Clerkenwell",6,15,,51.52326004,-0.104708922
42,"001048 - Queen Victoria Street, St. Paul's",2,30,,51.51196176,-0.097441687
43,"003464 - Green Street, Mayfair",15,4,,51.51227622,-0.157436972
44,"001056 - Finsbury Square , Moorgate",6,27,,51.52096262,-0.085634242
45,"001093 - Kennington Cross, Kennington",23,24,,51.48894022,-0.111435796
46,"001115 - Ilchester Place, Kensington",20,4,,51.50074359,-0.202759212
47,"001046 - Vauxhall Bridge , Pimlico",33,2,,51.48836528,-0.129361842
48,"001118 - Hampton Street, Walworth",10,11,,51.49217002,-0.101536865
49,"001121 - Lexham Gardens, Kensington",9,10,,51.49586666,-0.191933711
50,"001113 - Trebovir Road, Earl's Court",14,4,,51.49085368,-0.196170309
51,"003478 - Guildhouse Street, Victoria",2,14,,51.49234577,-0.141334487
52,"001123 - Southampton Place, Holborn",3,17,,51.51760685,-0.121328408
53,"003461 - Sloane Avenue, Knightsbridge",13,14,,51.4931848,-0.167894973
54,"002585 - Orsett Terrace, Bayswater",14,1,,51.517932,-0.183716959
55,"003463 - Argyll Road, Kensington",14,5,,51.50040123,-0.195455928
56,"003477 - Porchester Place, Paddington",6,12,,51.5147461,-0.1651640000000043
57,"003459 - Collingham Gardens, Earl's Court",13,1,,51.4916156,-0.186753859
58,"001124 - Sumner Place, South Kensington",14,5,,51.49121192,-0.173715911
59,"003460 - Warwick Square, Pimlico",13,6,,51.48985626,-0.141923621
60,"001126 - North Audley Street, Mayfair",11,6,,51.5129118,-0.153645496
61,"003473 - Belgrave Square, Belgravia",17,4,,51.49941247,-0.152317537
62,"001167 - South Wharf Road, Paddington",11,5,,51.51733558,-0.175810943
63,"001112 - Nutford Place, Marylebone",16,2,,51.5165179,-0.164393768
64,"000960 - Hop Exchange, The Borough",3,53,,51.50462759,-0.091773776
65,"001080 - Great Tower Street, Monument",23,1,,51.51048489,-0.082989638
66,"001102 - Leman Street, Aldgate",15,22,,51.51236389,-0.06954201
67,"001040 - West Smithfield Rotunda, Farringdon",5,10,,51.51821864,-0.100791005
68,"003468 - Margery Street, Clerkenwell",15,4,,51.52659961,-0.112432615
69,"003476 - Hinde Street, Marylebone",11,10,,51.51681444,-0.151926305
70,"001079 - Endsleigh Gardens, Euston",7,25,,51.52683806,-0.130504336
71,"001092 - Moorfields, Moorgate",28,26,,51.51906932,-0.088285377
72,"003479 - Old Brompton Road, South Kensington",27,3,,51.49094565,-0.181190899
73,"002587 - Wormwood Street, Liverpool Street",2,14,,51.51615461,-0.082422399
74,"003486 - St. Luke's Church, Chelsea",11,9,,51.48971651,-0.170194408
75,"003481 - Rodney Road , Walworth",17,7,,51.49148474,-0.090220911
76,"001150 - Queensway, Kensington Gardens",15,2,,51.51031,-0.18740235
77,"003470 - Great Percy Street, Clerkenwell",16,7,,51.52891573,-0.115480888
78,"001144 - Poured Lines, Bankside",6,25,,51.50669284,-0.103137426
79,"001154 - Kennington Road  , Vauxhall",21,15,,51.49571828,-0.110889274
80,"003483 - Fashion Street, Whitechapel",22,8,,51.51838043,-0.073438925
81,"003467 - Dock Street, Wapping",7,23,,51.5097860151,-0.0681619805156
82,"001090 - Warren Street Station, Euston",21,5,,51.52443845,-0.138019439
83,"003482 - Beaumont Street, Marylebone",11,12,,51.52200801,-0.151359288
84,"001145 - Earnshaw Street , Covent Garden",15,3,,51.51611887,-0.128585022
85,"001140 - Grosvenor Road, Pimlico",18,11,,51.4853572,-0.142207481
86,"001159 - Berry Street, Clerkenwell",14,27,,51.52285301,-0.099994052
87,"001161 - Brushfield Street, Liverpool Street",2,32,,51.518908,-0.079249
88,"001051 - Shoreditch Park, Hoxton",27,3,,51.53404294,-0.086379717
89,"003471 - Chadwell Street, Angel",15,3,,51.53051587,-0.106408455
90,"003484 - Houghton Street, Strand",3,12,,51.51362054,-0.116764211
91,"003491 - Princes Square, Bayswater",15,1,,51.5134891,-0.191351186
92,"001146 - Tysoe Street, Clerkenwell",15,5,,51.52644342,-0.109256828
93,"003490 - Southwick Street, Paddington",5,12,,51.51595344,-0.169249375
94,"001155 - Regency Street, Westminster",19,3,,51.49206037,-0.132224622
95,"001209 - Empire Square, The Borough",16,30,,51.50082346,-0.089740764
96,"001190 - Kennington Lane Rail Bridge, Vauxhall",18,13,,51.4863434,-0.122492418
97,"001136 - London Zoo,  The Regent's Park",25,7,,51.53583617,-0.156285395
98,"001133 - Baylis Road, Waterloo",12,10,,51.50144456,-0.110699309
99,"001134 - Warwick Road, Olympia",22,14,,51.49671237,-0.20528437
100,"001108 - North Wharf Road, Paddington",20,5,,51.51862243,-0.176645823
101,"003462 - Royal Avenue 2, Chelsea",1,9,,51.490083,-0.162418
102,"001141 - Kingsway, Covent Garden",16,0,,51.51440928,-0.118478757
103,"001117 - Lambeth North Station, Waterloo",2,18,,51.49914063,-0.112031483
104,"001156 - Bedford Way, Bloomsbury",21,2,,51.52367314,-0.128377673
105,"001138 - Elizabeth Bridge, Victoria",8,26,,51.49236962,-0.147478734
106,"003496 - St Mary's Hospital, Paddington",17,3,,51.518268,-0.17110323
107,"001135 - Claverton Street, Pimlico",10,22,,51.48483991,-0.138089062
108,"001214 - Kensington Olympia Station, Olympia",19,6,,51.49815779,-0.209494128
109,"001216 - Swan Street, The Borough",14,13,,51.50029631,-0.092762704
110,"003498 - Geraldine Street, Elephant & Castle",14,3,,51.49612799,-0.106000855
111,"001152 - Marylebone Lane, Marylebone",3,21,,51.51475963,-0.148105415
112,"003492 - Putney Pier, Wandsworth",5,23,,51.466907,-0.216573
113,"001157 - Black Lion Gate, Kensington Gardens",16,8,,51.50990837,-0.187842717
114,"003494 - Foley Street, Fitzrovia",14,10,,51.51918144,-0.140485596
115,"001130 - Grove End Road, St. John's Wood",11,9,,51.53088935,-0.176770502
116,"003495 - Wells Street, Fitzrovia",23,15,,51.51734403,-0.138072691
117,"003485 - Tyers Gate, Bermondsey",4,32,,51.50088934,-0.083159352
118,"000968 - Warwick Row, Westminster",7,14,,51.497998,-0.14296064
119,"003500 - Baldwin Street, St. Luke's",21,0,,51.52702563,-0.088542771
120,"002637 - Bermondsey Street, Bermondsey",17,7,,51.49785559,-0.081608045
121,"003502 - Palissy Street, Shoreditch",10,16,,51.526293,-0.073955
122,"003501 - Clifton Street, Shoreditch",6,18,,51.523196,-0.083067
123,"001131 - Graham Street, Angel",13,13,,51.53266186,-0.099981142
124,"002641 - New North Road 2, Hoxton",10,12,,51.53114,-0.086016
125,"002636 - Prince Albert Road, The Regent's Park",22,2,,51.53589283,-0.160854428
126,"001211 - Bunhill Row, Moorgate",9,21,,51.52085887,-0.089887855
127,"001210 - Nevern Place, Earl's Court",7,13,,51.49334336,-0.194757949
128,"002633 - Palace Gardens Terrace, Notting Hill",32,5,,51.50860544,-0.193764092
129,"001127 - Risinghill Street, Angel",18,7,,51.5333196,-0.1117812
130,"001222 - Goswell Road (City Uni), Finsbury",15,2,,51.528246,-0.10102611
131,"001218 - Flood Street, Chelsea",6,27,,51.48802358,-0.166878535
132,"001226 - Macclesfield Rd, St Lukes",11,17,,51.529423,-0.097122
133,"001224 - Vauxhall Street, Vauxhall",6,13,,51.486965,-0.116625
134,"001229 - High Holborn , Covent Garden",11,9,,51.516226,-0.124826
