row_from_station,fsq_id,category_id,name,latitude,longitude,rating,total_ratings,total_photos,total_tips
0,4ac518c4f964a52088a420e3,13009,Brunello Restaurant,51.501585,-0.184636,7.4,18,10,6
0,5bf3125e6adbf5002cb39863,13000,Mr Nico,51.501324,-0.184428,7.4,34,25,2
0,54bd8243498ecd38da686040,13072,Zaika of Kensington,51.502206,-0.187556,8.8,231,132,59
0,4b5f37b3f964a520fbad29e3,13099,Min Jiang,51.502891,-0.187965,8.6,166,117,51
0,4ac518d6f964a5203ba820e3,13000,Launceston Place,51.499114,-0.185402,8.6,102,84,30
0,4b23b1b2f964a520245824e3,13236,Locanda Ottoemezzo,51.500497,-0.188226,8.4,96,38,22
0,5a79cf23772fbc2908b19eda,13035,Hjem,51.499114,-0.185402,8.7,62,131,6
0,4b39011af964a5200b5425e3,13148,Côte,51.502136,-0.189064,8.0,130,82,33
0,4baf60fff964a52080fb3be3,13034,Montparnasse Cafe,51.500565,-0.189101,8.7,107,53,26
0,5ec3e5df9b2c6b0007772606,13035,Guillam Coffee House,51.498915,-0.183875,9.2,47,113,9
0,4aeb1850f964a5203cbe21e3,13099,Stick & Bowl,51.502205,-0.188747,7.8,129,80,41
0,4afb23def964a520771b22e3,13263,Wagamama High Street Kensington,51.502461,-0.18905,7.9,167,131,32
0,4ac518f4f964a520e9ae20e3,17070,Whole Foods Market,51.501856,-0.190424,9.2,1450,761,200
0,59ee3b0ce97dfb5a1bdfbfeb,13059,Joe & the Juice,51.502357,-0.19012,8.8,83,283,14
0,5cd4952ed0a149002cded511,13236,Grato,51.500616,-0.189162,8.2,14,18,3
0,4ac518daf964a520d8a820e3,13064,Da Mario,51.498714,-0.183539,8.8,569,414,154
0,51f0d6c7498eeec0f79b738f,16000,The Flower Walk,51.502497,-0.181335,7.4,14,34,3
0,59b317ed6f706a038643677d,13012,JoJo,51.502265,-0.188619,7.3,8,-1,2
0,4b16ab4ff964a520c0bb23e3,13035,Starbucks,51.502162,-0.188498,7.2,97,90,12
0,4ac518def964a520a5a920e3,13199,Memories of India,51.499129,-0.183928,7.5,35,26,8
1,4dca7acb2271a5cb224ba972,16032,St Pancras Gardens,51.535381,-0.131405,8.3,10,45,1
1,4c9614066b35a14356862adc,12101,St Pancras,51.543303,-0.139048,8.1,61,139,16
1,4ac518c7f964a52078a520e3,10032,Koko,51.534687,-0.138241,8.6,1034,871,124
1,4ae0a9dbf964a5206b8121e3,13099,Asakusa Restaurant,51.533985,-0.13821,8.4,272,87,78
1,4c03c05b310fc9b6ce44c661,16000,St Pancras Lock,51.536286,-0.128198,8.9,70,127,6
1,4f6303d80cd6efd2b0ddde47,13070,La Patagonia,51.535337,-0.139404,8.4,183,63,45
1,4d371276db5ba35d997840c7,17139,Booker St Pancras,51.538886,-0.130465,7.9,11,5,1
1,5ae4da7c3fcee80039da1a42,13177,yamas Greek Cuisine,51.535666,-0.139295,7.9,57,14,13
1,4c114e5d416620a183ded8e4,16032,Gasholder Park,51.536847,-0.127765,8.2,50,105,5
1,5c12a5e7db1d81002cbc9ce1,13064,Lost Boys Pizza,51.533622,-0.137881,7.8,18,16,4
1,505b58e4e4b046b36d6316ec,13272,Seto,51.536218,-0.139051,7.3,42,15,9
1,55be6222498edba353d823a3,13031,Band of Burgers,51.535123,-0.13935,7.5,34,20,5
1,4c750cf2ff1fb60c1f03f5a7,13000,O Tino,51.536034,-0.139529,7.5,42,35,14
1,4bd303c4b221c9b679a0d8d0,16028,Camley Street Natural Park,51.535551,-0.127729,8.3,47,90,15
1,4c2a5bdeb34ad13aa524e8ce,13034,Bar & Co,51.537874,-0.13951,7.7,33,19,9
1,4ac518e0f964a52020aa20e3,13177,Andy's Taverna,51.537801,-0.139921,7.9,167,51,40
