station_no,empty_slots,extra,free_bikes,id,latitude,longitude,name,timestamp,avg_rating,total_review_count,POI,avg_rating_fsq,total_ratings_count_fsq,POI_fsq
0,13,"{'installDate': '1278947280000', 'installed': True, 'locked': False, 'name': 'River Street , Clerkenwell', 'removalDate': '', 'temporary': False, 'terminalName': '001023', 'uid': 1}",6,7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,"001023 - River Street , Clerkenwell",2023-07-09T23:01:31.372000Z,,,,,,
1,21,"{'installDate': '1278585780000', 'installed': True, 'locked': False, 'name': 'Phillimore Gardens, Kensington', 'removalDate': '', 'temporary': False, 'terminalName': '001018', 'uid': 2}",16,67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,"001018 - Phillimore Gardens, Kensington",2023-07-09T23:01:31.378000Z,,,,8.25,60.0,2.0
2,8,"{'installDate': '1278242460000', 'installed': True, 'locked': False, 'name': 'Park Street, Bankside', 'removalDate': '', 'temporary': False, 'terminalName': '001024', 'uid': 10}",10,26184215d38089fcad213ef222e69780,51.50597426,-0.092754157,"001024 - Park Street, Bankside",2023-07-09T23:01:31.390000Z,,,,8.2,26.0,1.0
3,23,"{'installDate': '1278340440000', 'installed': True, 'locked': False, 'name': 'Brunswick Square, Bloomsbury', 'removalDate': '', 'temporary': False, 'terminalName': '001022', 'uid': 11}",1,1eabd7ac8e781befd03f52ef56a18aa7,51.52395143,-0.122502346,"001022 - Brunswick Square, Bloomsbury",2023-07-09T23:01:31.392000Z,,,,7.3,10.0,1.0
4,22,"{'installDate': '1278340620000', 'installed': True, 'locked': False, 'name': 'Malet Street, Bloomsbury', 'removalDate': '', 'temporary': False, 'terminalName': '000980', 'uid': 12}",27,23efb32f80a9dcd0e4f61fb44b353ce1,51.52168078,-0.130431727,"000980 - Malet Street, Bloomsbury",2023-07-09T23:01:31.393000Z,,,,,,
5,22,"{'installDate': '1278341040000', 'installed': True, 'locked': False, 'name': ""Belgrove Street , King's Cross"", 'removalDate': '', 'temporary': False, 'terminalName': '001011', 'uid': 14}",26,025ecd9d4f9708f515a36660227c8f3f,51.52994371,-0.123616824,"001011 - Belgrove Street , King's Cross",2023-07-09T23:01:31.396000Z,,,,7.9,256.0,2.0
6,16,"{'installDate': '1278341400000', 'installed': True, 'locked': False, 'name': 'Cartwright Gardens , Bloomsbury', 'removalDate': '', 'temporary': False, 'terminalName': '001010', 'uid': 16}",5,4c4028fef9930764b34cc63c411cd29f,51.52635795,-0.125979294,"001010 - Cartwright Gardens , Bloomsbury",2023-07-09T23:01:31.401000Z,,,,8.9,103.0,1.0
7,1,"{'installDate': '1278426300000', 'installed': True, 'locked': False, 'name': 'Drury Lane, Covent Garden', 'removalDate': '', 'temporary': False, 'terminalName': '001007', 'uid': 18}",26,55f4dfcaf7fe3970b8722067a12b2f7f,51.51477076,-0.12221963,"001007 - Drury Lane, Covent Garden",2023-07-09T23:01:31.404000Z,,,,,,
8,25,"{'installDate': '1278426720000', 'installed': True, 'locked': False, 'name': 'Taviton Street, Bloomsbury', 'removalDate': '', 'temporary': False, 'terminalName': '001009', 'uid': 19}",5,ebe16a8a0722ff26b583e2bda9cd1af4,51.52505093,-0.131161087,"001009 - Taviton Street, Bloomsbury",2023-07-09T23:01:31.406000Z,,,,8.8,41.0,1.0
9,19,"{'installDate': '1544659200000', 'installed': True, 'locked': False, 'name': 'Drummond Street , Euston', 'removalDate': '', 'temporary': False, 'terminalName': '000993', 'uid': 20}",9,d68d55f9fc5a6ecc846d4e51d9bab5bd,51.527326,-0.13605286,"000993 - Drummond Street , Euston",2023-07-09T23:01:31.407000Z,,,,,,
10,16,"{'installDate': '1278434160000', 'installed': True, 'locked': False, 'name': 'Ampton Street , Clerkenwell', 'removalDate': '', 'temporary': False, 'terminalName': '001019', 'uid': 26}",5,0c01f449802222cdd504c8eafa0322a4,51.52728093,-0.11829517,"001019 - Ampton Street , Clerkenwell",2023-07-09T23:01:31.413000Z,,,,,,
11,13,"{'installDate': '1278500460000', 'installed': True, 'locked': False, 'name': 'Bolsover Street, Fitzrovia', 'removalDate': '', 'temporary': False, 'terminalName': '001025', 'uid': 28}",6,d72f1e4f9fcc28128a22a35b05589049,51.52351808,-0.143613641,"001025 - Bolsover Street, Fitzrovia",2023-07-09T23:01:31.414000Z,,,,8.5,172.0,1.0
12,18,"{'installDate': '1278501420000', 'installed': True, 'locked': False, 'name': 'Windsor Terrace, Hoxton', 'removalDate': '', 'temporary': False, 'terminalName': '001029', 'uid': 30}",6,ad43baa18c9dbea9ba4b0966c386cc0c,51.52915444,-0.093421615,"001029 - Windsor Terrace, Hoxton",2023-07-09T23:01:31.416000Z,,,,,,
13,25,"{'installDate': '1278519900000', 'installed': True, 'locked': False, 'name': 'De Vere Gardens, Kensington', 'removalDate': '', 'temporary': False, 'terminalName': '003446', 'uid': 36}",3,2b52d72500bd4fb639ab9f79df7e3c78,51.50173726,-0.184980612,"003446 - De Vere Gardens, Kensington",2023-07-09T23:01:31.420000Z,,,,7.6499999999999995,38.0,3.0
14,17,"{'installDate': '1278601740000', 'installed': True, 'locked': False, 'name': 'Shoreditch High Street, Shoreditch', 'removalDate': '', 'temporary': False, 'terminalName': '003445', 'uid': 39}",24,e7899ea58fd18b220d81d76c035834cf,51.5263778,-0.078130921,"003445 - Shoreditch High Street, Shoreditch",2023-07-09T23:01:31.422000Z,,,,,,
15,18,"{'installDate': '1278602280000', 'installed': True, 'locked': False, 'name': 'Pindar Street, Liverpool Street', 'removalDate': '', 'temporary': False, 'terminalName': '001084', 'uid': 41}",6,909898d9d1513581b527f22453b32aac,51.520955,-0.083493552,"001084 - Pindar Street, Liverpool Street",2023-07-09T23:01:31.424000Z,,,,,0.0,1.0
16,13,"{'installDate': '1278687720000', 'installed': True, 'locked': False, 'name': 'Crawford Street, Marylebone', 'removalDate': '', 'temporary': False, 'terminalName': '001036', 'uid': 43}",5,eb47143bda16b9e140e9c0ebaaad79e5,51.52026,-0.157183945,"001036 - Crawford Street, Marylebone",2023-07-09T23:01:31.426000Z,,,,7.95,82.0,2.0
17,20,"{'installDate': '1278749460000', 'installed': True, 'locked': False, 'name': ""Godliman Street, St. Paul's"", 'removalDate': '', 'temporary': False, 'terminalName': '000971', 'uid': 48}",5,6da973289e6a340aa31d03dc615d43c8,51.51248445,-0.099141408,"000971 - Godliman Street, St. Paul's",2023-07-09T23:01:31.430000Z,,,,9.1,345.0,1.0
18,23,"{'installDate': '1278750240000', 'installed': True, 'locked': False, 'name': 'East Road, Hoxton', 'removalDate': '', 'temporary': False, 'terminalName': '001054', 'uid': 50}",4,f8d7365346582b107b65bab899772875,51.52867339,-0.087459376,"001054 - East Road, Hoxton",2023-07-09T23:01:31.431000Z,,,,,,
19,2,"{'installDate': '1278750840000', 'installed': True, 'locked': False, 'name': ""Roscoe Street, St. Luke's"", 'removalDate': '', 'temporary': False, 'terminalName': '001026', 'uid': 52}",16,17080ae3ef6c19fbe59e8e5c17d31d9b,51.52295439,-0.094934859,"001026 - Roscoe Street, St. Luke's",2023-07-09T23:01:31.433000Z,,,,7.599999999999999,92.0,4.0
20,16,"{'installDate': '1278752580000', 'installed': True, 'locked': False, 'name': 'Grafton Street, Mayfair', 'removalDate': '', 'temporary': False, 'terminalName': '003431', 'uid': 53}",2,99e37e228edaf5187aa917de66113607,51.5099923,-0.143495266,"003431 - Grafton Street, Mayfair",2023-07-09T23:01:31.433000Z,,,,7.7,36.0,1.0
21,15,"{'installDate': '1278767220000', 'installed': True, 'locked': False, 'name': 'Paddington Street, Marylebone', 'removalDate': '', 'temporary': False, 'terminalName': '001033', 'uid': 56}",1,de39548e3080840044daaa7b1e053c59,51.52058381,-0.154701411,"001033 - Paddington Street, Marylebone",2023-07-09T23:01:31.436000Z,,,,8.3,18.0,1.0
22,12,"{'installDate': '1278769140000', 'installed': True, 'locked': False, 'name': ""Lisson Grove, St. John's Wood"", 'removalDate': '', 'temporary': False, 'terminalName': '001030', 'uid': 60}",6,769aad3f52773505bb81888baf8becad,51.52644828,-0.172190727,"001030 - Lisson Grove, St. John's Wood",2023-07-09T23:01:31.438000Z,,,,7.9,22.0,1.0
23,39,"{'installDate': '1278845280000', 'installed': True, 'locked': False, 'name': 'Holborn Circus, Holborn', 'removalDate': '', 'temporary': False, 'terminalName': '000982', 'uid': 66}",1,93cd71b7afe01549d24d77a3615b8643,51.51795029,-0.108657431,"000982 - Holborn Circus, Holborn",2023-07-09T23:01:31.443000Z,,,,,,
24,21,"{'installDate': '1278857040000', 'installed': True, 'locked': False, 'name': ""Theobald's Road , Holborn"", 'removalDate': '', 'temporary': False, 'terminalName': '000975', 'uid': 68}",5,764f407d99e596ccdf7134f48b3ceaab,51.52059681,-0.116688468,"000975 - Theobald's Road , Holborn",2023-07-09T23:01:31.444000Z,,,,7.7,9.0,1.0
